水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度,433-453,458-523,543-578,650-680,698-713,733-748,773-793,785-900,855-875,935-955,1565-1655,2100-2280
20.9,7.48,5.9,3.9,0.818,0.145,3.52,36230.4,60,5.27,6.69,9.1,7.22,6.52,2.88,3.01,2.88,1.93,3.11,1.52,1.44
21,7.66,8.96,1,0.025,0.02,1.8,195.9,21.3,4.61,4.25,5.59,3.1,2.75,2.4,1.4,1.62,1.75,10.09,3.49,2.62
19.8,7.3,8.86,1.45,0.045,0.062,2.14,190.7,9.1,3.65,5.42,7.77,4.09,3.06,1.51,1.73,1.49,1.3,0.86,1.4,1.11
21.8,6.99,3.61,3.72,0.452,0.108,4.57,794.8,50.8,4.93,5.51,8.13,5.93,6.44,3.99,4.52,3.44,3.61,7.79,5.92,6.84
19.7,6.89,7.01,1.91,0.256,0.059,2.4,212.1,68.5,2.02,2.17,2.36,1.65,2.93,2.33,3.45,1.34,2.74,2.24,3.98,3.17
20.8,7.17,7.5,3.27,0.123,0.105,1.78,172.3,6.5,3.9,3.74,5.22,3.33,5.17,4.12,4.84,1.72,5.06,3.42,4.28,4.64
22.4,7.38,9.91,3.22,0.628,0.126,3.29,245,7.8,1.61,2.49,3.52,2.01,2.01,0.72,0.62,0.43,0.32,0.61,0.81,0.73
22.2,7.13,7.2,4.53,0.374,0.1,3.12,5711.1,44.2,5.36,11.8,14.62,15.44,14.49,11.72,11.85,15.38,11.95,4.79,12.35,12.29
22.5,7.33,8.19,3.49,0.36,0.088,2.58,316.6,19.6,2.96,3.99,5.03,3.46,3.01,1.81,2.22,1.96,2.35,2.28,1.94,2.01
22.5,6.8,8.22,3.48,0.655,0.067,2.51,14308,6.8,2.92,4.01,5.3,3.32,2.23,0.78,1.05,0.75,0.66,4.28,1.37,1
20.9,7.22,8.55,3.17,0.025,0.029,3.14,572.7,14.4,3.16,4.76,6.5,4.7,4.27,1.95,1.84,1.61,1.24,0.14,0.6,0.57
21.7,6.78,5.73,3.77,0.633,0.123,1.7,30173,23.4,5.03,5.03,6.9,4.79,4.93,3.99,4.09,1.43,3.59,4.79,3.74,2.96
19.7,7.57,9.34,0.8,0.036,0.021,1.77,289,10.4,2.93,4.85,6.64,3.22,2.45,1.17,1.14,0.91,0.96,0.12,0.57,0.53
19.7,7.79,10.22,0.73,0.025,0.01,1.85,305.8,4.1,2.28,3.9,5.08,2.32,2.31,1.56,1.26,1.38,1.53,2.6,1.28,1.08
20.5,7.68,9.75,1.44,0.054,0.028,1.72,295.9,16.3,3.49,4.64,7.34,3.7,2.68,0.81,0.91,0.74,0.37,0.02,0.5,0.5
19.6,7.15,8.53,1.88,0.079,0.052,2.25,258.3,9.6,2.94,4.13,7.03,4.13,4.1,1.49,1.8,1.65,1.45,6.25,1.22,1.09
19.9,7.43,7.49,2.32,0.127,0.07,2.47,300.9,12.5,3.15,5.28,7.63,5.37,4.52,1.72,1.69,1.51,0.98,0.65,0.75,0.77
20.5,7.59,8.54,1.36,0.181,0.035,2.39,310,6.3,5.1,4.57,5.42,3.66,4.4,2.95,2.95,1.8,2.6,6.9,3.04,1.9
20.5,7.87,7.78,1.68,0.285,0.076,1.87,7197.6,25.4,4.82,6.9,9.11,5.44,4.44,2.16,2.2,1.91,1.52,0.58,1.45,1.29
19.4,7.93,9.89,0.9,0.048,0.032,1.86,349.2,13.1,5.7,14.08,16.62,19.5,18.94,21.38,23.06,27.1,25.07,17.45,25.61,22.66
20.8,7.98,9.24,1.88,0.076,0.062,2.08,1843.2,34.6,5.91,5.54,6.39,6.42,7.21,4.09,5.05,5.21,5.65,3.81,7.46,10.28
20.1,7.82,7.76,1.93,0.185,0.036,1.64,8215.8,10.5,5.44,10.36,10.8,11.24,9.71,9.57,9.52,11.52,8.89,4.27,8.25,7.99
20.3,8.16,9.02,1.66,0.057,0.039,2.05,412.6,20.1,4.87,5.2,7.6,4.89,5.53,3.51,3.51,1.65,2.72,3.34,3.29,3.24
21,7.63,7.65,2.13,0.154,0.061,3.16,780.3,59.5,5.96,13.94,13.18,14.28,9.27,6.65,7.51,13.7,7.53,3.54,5.86,5.49
21,7.57,7.25,3.99,0.268,0.034,2.91,7042,37.3,5.05,6.7,8.71,5.6,5.48,2.89,2.82,2.4,2.12,1.42,1.01,0.9
20.8,7.64,6.36,2.02,0.393,0.092,2.97,298.3,31.5,4.35,5.83,7.44,5.52,4.78,2.89,2.92,2.57,2.27,1.79,1.2,1.05
20.1,7.62,6.73,1.4,0.096,0.053,2.52,239.2,11.9,5.25,6.76,8.66,5.94,5.03,2.75,2.66,2.55,2.12,1.46,1.21,1.1
20.4,7.81,7.88,2.1,0.122,0.063,2.96,4154.5,40.6,5.86,7.67,10.24,6.88,6.19,3.41,3.63,3.05,2.49,1.91,1.38,1.01
20.7,7.89,7.67,3.54,0.266,0.051,3.41,15415.3,94.2,7.12,12.18,13.64,12.78,10.65,9.98,9.75,12.48,9.59,4.33,9,8.79
21.4,7.35,5.24,4.33,0.025,0.17,5.41,625.3,40.8,4.19,5.23,6.7,4.97,5.7,3.35,3.44,2.95,2.46,1.77,1.29,0.81
21.1,7.37,6.87,4.62,0.025,0.074,4.08,3649.5,119,5.37,6.64,9.07,6.85,6.69,3.78,3.45,3.05,2.23,1.82,0.69,0.62
20.8,7.4,5.95,4.8,0.044,0.122,6,3679.7,110.9,5.63,7.37,9.63,8,7.81,4.11,4.09,3.5,2.65,1.48,0.87,0.67
20.5,7.59,7.05,2.46,0.166,0.064,3.4,344.1,106,5.18,6.5,9.19,6.84,5.78,2.98,3.14,2.62,2.25,1.28,1.15,1.11
20.6,7.36,7.51,1.69,0.175,0.06,2.97,330.2,17.2,5.4,7.08,9.49,7.13,6.19,3.38,3.35,2.98,2.66,1.65,1.27,0.99
21.6,7.38,7.61,1.11,0.049,0.032,1.71,147.4,18.7,5.77,8.1,10.76,6.88,5.83,3.23,3.03,2.69,2.3,1.72,1,0.86
21.8,7.59,9.21,3.14,0.081,0.061,3.39,431.5,14.5,5.87,4.82,6.15,4.87,5.69,3.85,3.64,3.81,4.37,9.72,3.23,2.79
21.5,7.35,10.7,3.51,0.139,0.075,2.64,201.2,10.5,1.98,4.9,5.66,6.69,6.34,6.44,5.82,6.78,5.26,2.31,5.07,5.46
20.7,7.46,8.96,0.83,0.025,0.024,1.1,92.5,16.4,3.91,6.57,10.4,6.03,4.27,1.7,1.7,1.73,1.32,2.2,1.17,1.21
19.7,7.59,9.07,1.48,0.068,0.028,1.61,151.6,34.8,2.82,4.22,6.03,3.21,2.87,1.55,1.67,1.46,1.36,0.98,0.67,0.77
20.4,7.54,9.66,3.14,0.192,0.042,3.52,207.8,8.6,3.66,13.78,16.98,18.52,11.19,12.19,11.78,18.92,13.18,5.9,13.15,11.59
17.9,8.14,10.69,1.83,0.081,0.038,1.77,289.8,6.3,3.02,8.73,11.28,12.32,7.32,7.51,8.49,12,7.15,8.45,8.62,7.94
18.3,7.35,9.08,2.16,0.103,0.024,1.59,139.3,6.2,3.07,8.63,10.78,12.74,12.32,12.04,12.74,15.44,14.33,5.37,15.76,15.61
18.4,6.99,10.66,1.04,0.025,0.007,1.53,147.6,8.2,3.14,3.68,6.57,3.04,2.27,0.55,1,0.42,0.46,0.72,0.87,0.61
20,7.59,9.49,1.55,0.025,0.064,2.13,205.9,2.9,3.67,4.4,6.19,3.34,2.74,1.66,1.54,1.42,1.37,0.54,1.53,1.3
20.4,6.87,6.64,1.88,0.308,0.064,2.57,231.9,80.5,3.19,2.44,3.5,2.4,4.58,4.89,5.37,3.12,5.07,3.65,7.01,6.41
20.4,7.23,8.55,3.44,0.134,0.1,1.99,167.9,369.1,4.79,4.45,6.24,4.6,6.41,5.4,5.4,2.84,4.8,4.16,5.57,5.17
20.6,7.43,9.05,0.85,0.025,0.022,1.02,91.1,13.3,5.25,6.24,9.56,5.46,4.19,1.95,1.8,1.68,1.61,1,1.69,1.38
20.4,7.43,9.74,1.16,0.025,0.013,0.9,101.9,5.1,4.93,5.46,7.74,4.16,3.85,2.4,2.3,2.09,2.03,0.51,1.55,1.32
21.1,7.79,9.95,2.9,0.147,0.037,3.02,183.2,6.5,5.11,12.46,15.42,17.58,12.38,11.81,11.01,17.42,11.77,5.06,11.37,10.2
19.7,7.56,9.27,0.58,0.025,0.02,0.38,87,4.9,4.51,4.95,5.68,1.85,1.39,0.74,0.74,0.68,0.69,0.01,0.6,0.43
20.9,7.93,8.92,4.98,0.025,0.046,1.25,1474.2,7.7,6.34,6.3,8.92,9.04,11.06,9.97,10.21,7.66,9.87,6.91,9.26,7.62
20.6,8.76,9.85,7.72,0.111,0.059,1.17,6270.4,10.9,3.41,2.92,3.91,2.82,4.15,3.62,3.74,2,3.55,4.62,3.98,3.39
19.6,8.32,8.58,3.69,0.342,0.058,1.01,29513.9,8.5,3.82,7.47,9.93,10.68,10.38,8.49,9.75,11.82,9.1,3.01,11.47,9.88
20.1,7.47,8.85,1.12,0.025,0.016,1.74,218.3,22.1,5.19,4.2,5.78,3.56,3.48,2.17,3.04,1.83,2.34,11.17,3.46,2.35
23.1,6.51,7.65,3.35,0.453,0.046,3.72,158.9,35.3,4.78,7.2,11.66,9.54,9.63,3.69,3.61,2.97,2.18,0.01,0.97,0.89
23,9.11,11.15,5.96,0.084,0.088,2.43,180.2,8.1,3.03,3.57,3.82,2.4,3.26,1.78,1.87,1.52,1.42,0.25,0.94,0.74
22.6,6.8,8.3,3.42,0.37,0.054,2.4,12832.1,6.7,5.17,5.99,7.32,5.21,5.09,4.5,4.6,3.91,4.23,5.31,2.57,1.76
20.9,7.22,8.1,3.43,0.099,0.091,1.88,164.2,9.1,7.49,5.84,7.17,4.29,6.99,6.06,6.36,1.48,4.63,3.05,5.4,5.4
20.8,7.16,8.95,1.99,0.041,0.052,2.24,270.6,8.9,6.53,5.73,9.21,5.74,5.87,2.92,2.76,1.94,2.4,5.43,2.01,1.31
22.5,7.58,9.11,1.4,0.025,0.025,1.53,101.8,13.6,5.93,6.62,9.24,5.46,5.29,2.99,2.77,2.37,2.37,1.09,1.21,0.83
22.5,7.6,9.88,2.86,0.025,0.046,2.93,360.1,9.8,6.55,5.27,6.75,5.44,7.54,5.95,4.59,3.72,4.76,9.97,4.35,3.98
23.9,7.46,10.5,3.06,0.177,0.056,2.66,214.9,6,4.12,7.78,9.58,9.13,7.6,7.34,6.11,10.76,6.38,1.92,6.37,6.08
21.3,7.52,9,1.25,0.025,0.015,0.94,136.1,11.7,2.65,3.68,6.47,4.35,4.15,2.02,1.53,1.83,0.85,4.46,1.81,1.31
22.1,7.36,8.52,0.83,0.025,0.022,0.96,95.6,10.1,4.22,5.51,8.43,4.95,3.87,2.2,2.05,1.61,1.69,1.26,1.23,1.21
20.5,7.62,9.44,1.7,0.082,0.029,1.54,146.9,12.7,2.92,3.83,5.82,3.12,2.76,1.25,1.12,0.89,0.73,0.01,0.7,0.58
20.7,7.46,9.72,1.09,0.025,0.012,0.87,101.2,5.1,4.2,5.01,7.22,3.73,3.25,2.28,2.18,1.92,1.74,0.52,1.15,1.06
22.8,9.09,12.34,2.35,0.069,0.072,2.88,161.8,17,4.41,10.34,13.72,15,10.68,8.66,9.61,14.58,11.58,4.94,10.49,9.28
20.8,7.59,9.48,0.47,0.025,0.018,0.39,86.5,4.6,4.15,5.16,5.82,2.42,1.79,1.27,1.09,1.05,0.85,0.03,0.66,0.57
18.7,8.27,11.22,1.78,0.025,0.025,1.25,284.1,6.3,6.88,9.23,10.3,11.16,11.44,10.13,10.63,10.99,11.13,8.7,8.89,8.25
20.4,7.89,11.92,2.55,0.025,0.029,1.26,142.6,5.3,6.13,8.47,10.38,11.34,12.1,12.03,12.66,13.91,13.9,6.61,15.39,15
23.2,7.04,7.11,2.92,0.796,0.127,3.49,299.5,7.2,2.34,3.08,4.42,2.57,2.71,1.99,1.78,1.55,1.49,0.76,1.13,0.83
23.1,7.28,6.96,4.89,0.246,0.089,2.64,4583.6,23.7,4.93,10.28,13.96,12.42,11.69,9.83,9.75,11.24,9.79,3.89,9.7,10.18
23.3,7.08,7.23,3.74,0.298,0.099,2.85,593.8,11.7,3.31,3.26,4.78,3.07,4.58,2.89,2.7,1.48,2.29,2.44,3.55,3.16
23.3,6.9,8.37,4.07,0.284,0.054,2.42,11839.3,5.5,3.3,3.11,5.21,3.07,2.57,1.19,1.15,0.6,0.75,4.28,1.44,1.4
20,7.9,9.85,1.37,0.025,0.016,1.9,321.2,6.7,5.97,7.49,10.88,12,15.55,20.95,23.28,18.44,25.1,14.09,21.46,16.13
22.7,7.19,8.67,3.15,0.025,0.024,3.83,599.1,10.1,5.23,5.14,7.16,4.85,4.5,2.76,2.56,2.17,2.06,0.64,1.02,0.78
22.7,7.09,4.66,3.94,0.45,0.074,1.54,26040.4,13.2,6.09,4.08,6.3,4.57,7.8,7.15,6.78,1.58,6,6.47,6.4,5.5
21.4,7.67,9.46,0.95,0.025,0.028,1.89,283,17.1,4.92,5.47,7.72,4.08,3.9,2.26,1.93,1.54,1.54,0.14,0.93,0.71
20.7,8.33,9.42,1.18,0.025,0.012,1.82,0.3,3.8,3.14,3.38,5.71,2.83,2.83,1.92,1.32,1.36,0.66,1.67,1.91,1.37
21.1,7.63,9.8,1.47,0.042,0.023,1.81,282.3,14,8.25,7.06,9.02,5.3,4.41,2.15,1.79,1.28,1.36,0.07,0.91,0.7
22.7,7.33,7.2,2.53,0.21,0.049,2.76,277.7,9.9,7.31,8.27,11.44,7.41,6.09,2.91,2.49,1.94,1.71,0.35,1.08,0.69
22.3,7.64,8.88,1.58,0.194,0.043,2.4,345.4,16.2,7.53,9.51,11.3,11.76,10.37,10.02,10.62,14.6,10.37,10.09,9.5,7.63
21.1,7.95,8.02,2.04,0.335,0.071,1.59,11714.3,23.2,5.76,6.24,8.11,4.95,4.36,2.5,2.36,1.82,1.79,0.72,1.07,0.89
22.8,7.9,8.63,2.07,0.114,0.047,1.8,6617.2,22.1,5.79,6.95,8.82,9.57,6.65,5.48,5.54,8.61,5.56,3.59,6.4,7.3
21.8,7.86,8,1.68,0.179,0.034,1.73,8933,8.6,5.71,11.6,12.82,13.72,12.08,11.08,11.71,14.02,11.09,4.62,11.07,10.24
21,8.23,9.34,1.52,0.025,0.034,2.01,686.4,14.8,5.82,4.56,6.47,4.91,7.15,6.03,5.41,3.22,5.1,3.15,6.54,5.83
22.1,7.66,7.38,3.84,0.132,0.022,2.54,9565.9,20.5,6.48,7.26,9.12,5.91,5.6,3.42,3.37,2.83,2.95,1.86,1.35,0.87
22.2,7.52,4.81,2.09,0.831,0.098,3.7,320,15.4,8.15,8.14,9.51,7.35,7.44,6.05,5.62,5.18,5,4.42,2.53,1.62
21.8,7.57,6.47,1.63,0.069,0.05,2.44,233.4,15.9,7.83,8.44,10.42,7.14,6.28,4.22,4.04,3.38,3.17,2.54,1.79,1.16
21,7.8,7.67,2.63,0.17,0.055,2.68,6861.4,38.5,5.64,6.98,9.51,5.92,5.66,3.07,2.9,2.24,2.06,0.77,1.19,0.76
21.4,8.06,7.72,2.93,0.177,0.044,2.7,14969.4,27.1,7.86,9.85,11.88,11.56,10.01,8.66,8.25,10.82,7.55,4.48,6.2,6.08
23.7,7.71,8.44,5.01,0.071,0.166,5.28,470.8,44.1,6.91,6.91,8.33,6.42,7.66,4.95,4.56,4.05,3.7,2.83,1.75,1.13
22.7,7.63,7.76,2.24,0.025,0.04,3.75,2659.9,38.9,6.97,7.77,9.76,6.84,7.04,4.19,3.92,3.54,3.09,2.34,1.42,0.99
22.6,7.38,5.83,3.64,0.123,0.076,4.72,6384,50,7.23,7.65,10.34,6.73,6.71,4.41,4.18,3.54,3.35,2.34,1.54,1.05
21.7,7.61,7.23,2.29,0.164,0.06,3.37,1777.2,136.6,7.17,7.39,10.42,7.22,6.84,3.93,4.02,3.14,3.03,1.91,1.44,1.15
21.6,7.47,6.89,1.73,0.169,0.069,3.02,545,18.1,7.24,8.11,10.26,7.27,7.04,4.73,4.62,3.74,3.76,2.7,1.7,1.46
25.3,7.64,8.13,6.41,0.118,0.12,11.73,4411.4,26.5,6.45,6.53,7.89,5.76,6.67,5.03,5.06,4.13,4.22,3.62,2.35,1.73
21.2,6.97,5.86,3.9,0.186,0.107,1.87,167.4,6.7,11.67,5.7,8,5.32,10.11,8.69,9.19,2.72,7.58,7.3,8.1,7.47
23.5,7.23,7.83,1.09,0.042,0.028,1.22,105.8,11.4,15.74,14.16,16.06,12.3,11.94,9.85,9.86,8.69,8.77,9.97,5.05,3.34
23,7.53,9.69,1.95,0.035,0.038,2.41,139.3,3.9,11.28,15.78,16.3,16.88,14.47,14.07,14.89,17.8,15.51,10.01,12.86,10.75
23.4,8.03,7.77,3.52,0.569,0.024,1.2,47967.6,7.3,5.74,6.86,9.62,5.22,4.61,2.95,1.96,2.14,2.16,4.74,2.63,1.89
22.4,8.22,9.34,5.27,0.025,0.041,1.24,1373.9,40.6,6.81,7.41,9.58,9.77,11.84,11.23,11.18,8.71,10.33,9.32,9.45,7.78
22.5,8.92,11.97,7.53,0.182,0.063,1.3,8133.7,12.9,4.79,5.21,6.36,4.89,6.71,5.7,5.35,3.74,5.06,7.55,5.05,3.73
22.1,8.56,7.05,3.86,0.399,0.067,1.29,30948.6,4.7,4.07,7.17,10.2,11,10.53,11.42,11.82,12.48,11.41,5.43,12.02,11.93
23.1,8.39,10.71,8,0.03,0.113,3.08,6423.2,24.4,4.57,4.16,5.8,3.93,4.24,3.08,2.82,2.41,2.33,4.73,1.95,1.51
23.9,7.48,8.32,1.3,0.025,0.019,1.78,197.7,21.3,8.21,7.07,8.9,6.2,5.74,5.39,4.44,4.13,4.84,13.24,4.69,3.98
23.9,7.28,8.47,3.09,0.19,0.081,2.11,167.2,3.2,18.66,12.52,11.98,8.24,12.69,11.59,11.05,6.69,9.68,7.9,7.62,6.88
22.9,7.14,5,3.88,0.186,0.052,3.2,2539.1,95.8,6.79,7.06,9.01,8.02,7.71,4.68,4.57,3.83,3.3,2.91,1.65,1.14
22.2,7.53,6.85,1.4,0.309,0.07,2.69,334.6,14.8,12.39,11.84,12.2,11.42,12.04,11,11.14,10.72,11.1,14.29,10.15,8.33
21,7.71,6.01,2.08,0.387,0.082,3.12,133.2,31.6,6.88,7.39,10.11,8.72,8.17,4.98,4.78,4.08,3.85,3.51,2.23,1.57
20.7,7.41,5.54,1.63,0.165,0.064,2.74,300.2,20.3,7.45,7.71,10.5,7.86,7.21,4.59,4.29,3.61,3.48,3.39,2.24,1.84
21.9,7.77,6.96,2.38,0.238,0.072,3.27,607.1,74,7.34,8.56,12.2,10.1,9.86,5.42,5.19,4.48,3.92,3.07,2.19,1.46
23.1,7.51,6.97,3.34,0.294,0.061,5.84,12890.7,101.1,10.79,15.32,16.54,14.42,14.76,10.96,10.43,12.72,9.59,8.14,9.48,7.75
23.3,7.11,3.27,5.08,0.025,0.201,5.78,482.1,51.1,7.75,7.88,9.38,7.83,8.72,6.81,6.57,5.77,5.71,5.73,3.47,2.69
23.7,7.31,4.66,4.91,0.034,0.083,4.91,2295.4,278.2,8.8,10.1,13,10.99,11.18,6.72,6.97,6.03,5.46,5.22,2.69,2.07
23.5,7.17,3.43,5.31,0.025,0.14,7.06,2981.9,170.4,8.58,9.44,12.62,11.96,12.09,7.76,7.54,6.69,6.06,4.53,2.41,1.8
21.3,7.43,5.55,2.97,0.246,0.085,3.32,370.9,47.5,7.31,7.94,11,9.61,8.74,5.34,5.12,4.38,3.93,3.07,2.19,1.71
21.4,7.34,5.13,1.79,0.333,0.068,3.19,318.4,20.2,8.02,8.52,10.96,8.41,7.9,5.9,5.64,4.95,4.75,4.45,2.37,1.73
22.2,7.18,6.62,1.4,0.039,0.039,1.91,173.9,20.4,7.81,9.49,13.54,10.12,9.07,5.56,5.62,4.7,4.6,4.62,2.78,2.19
23.8,7.22,7.43,3.3,0.098,0.061,3.33,439.6,34.4,6.73,5.73,7.28,6.34,7.5,5.78,5.54,4.66,4.82,11.55,4.8,4.22
21.7,7.51,7.84,1.89,0.034,0.039,1.98,296,19.6,20.02,28.02,27.64,22.97,19.73,15.93,13.96,25.21,11.63,19.83,14.7,7.92
25.1,7.26,4.73,5.91,0.521,0.098,9.91,9408.7,93,6.78,7.91,10.44,9.67,9.72,5.84,5.71,4.9,4.34,3.81,2.59,2.14
23.9,7.23,8.01,1.22,0.029,0.024,1.06,101.2,9.4,14.27,12.9,15.76,14.04,15.68,15.89,16.59,13.02,16.88,21.68,17.11,13.06
22.4,7.52,9.67,0.72,0.025,0.016,0.39,81.8,8.4,5.12,6.74,8.41,3.73,3.28,2.6,2.5,2.22,2.32,1.81,2.05,1.52
24.3,7.23,8,1,0.026,0.023,1.1,99.5,10.6,5.17,6.86,9.24,6.31,5.47,4.12,3.91,3.82,3.58,6.92,2.8,1.81
22.9,7.17,9.08,1.11,0.025,0.022,1.08,98.6,11.3,3.36,4.24,5.99,3.49,3.63,2.64,2.55,2.35,2.24,3.45,1.35,1.27
25.6,7.38,8.01,2.29,0.025,0.038,2.2,137.1,4.2,4.73,13,15.54,16.48,12.51,11.13,12.28,16.16,12.16,7.76,12.43,11.28
23.7,7.52,9.71,0.89,0.025,0.019,0.39,82.2,7.1,6.58,7.85,9.3,4.67,4.41,3.76,4.01,3,3.75,4.32,1.72,1.45
24.3,8.13,8.2,2.65,0.685,0.019,1.04,49609.4,7.7,5.58,7.94,9.51,5.28,4.31,2.53,2.09,2.3,1.84,4.25,2.01,1.82
22.5,6.74,9.1,0.73,0.025,0.012,1.53,145.4,8.6,5.5,7.45,10.16,6.94,5.63,2.97,2.89,2.38,2.51,3.34,1.75,1.11
20.6,7.74,8.33,1,0.025,0.018,2.11,300.3,11.5,5.05,6.95,10.66,9.74,13.54,20.13,23.36,16.66,24.35,15.78,21.36,14.67
24.9,7.28,7.85,1.07,0.04,0.026,1.22,98.2,12.7,7.07,7.01,8.97,5.71,5.45,4.67,4.64,3.91,4.01,4.81,3.01,2.46
24,7.51,9.44,1.38,0.025,0.017,0.92,109.3,5.3,5.3,5.14,7.41,4.49,4.46,3.59,3.32,2.77,2.65,3.19,2.02,1.7
25.3,7.5,7.65,2.14,0.025,0.025,2.69,232.4,2.5,5.13,11.52,15.42,14.98,10.87,9.32,12.02,15.82,12.21,6.41,10.95,9.35
24.6,7.55,8.98,0.51,0.025,0.005,0.42,85.3,4.6,6.56,7.21,7.91,3.83,3.66,3.03,2.76,2.25,2.21,2.32,1.45,1.19
25.3,8.08,8.22,2.77,0.676,0.021,1.21,37564.8,9.7,6.99,8.08,9.8,6.06,4.97,2.32,2.76,2.41,1.88,4.63,3.03,2.22
24.2,8.35,10.07,7.48,0.227,0.074,1.22,11622.7,10.9,5.07,3.81,5.14,4.13,6.09,5.18,5.13,3.22,4.66,5.55,5.12,4.47
22.8,8.43,7.03,3.61,0.644,0.065,1.41,42973.9,4.1,6.73,8.78,11.16,11.3,13.79,10.99,13.28,12.35,12.23,6.38,15.22,13.15
23.1,6.91,7.82,0.97,0.025,0.011,1.8,154.1,2.2,8.16,8.57,10.66,6.69,5.99,4.58,4.9,4,4.08,3.09,2.01,1.25
24.2,7.36,8.13,1.34,0.025,0.03,1.67,188.2,11.8,7,8.66,10.8,8.77,8.18,6.6,6.25,6.37,6.26,5.09,7.3,6.48
26.3,7.11,4.19,3.36,0.446,0.094,3.42,301.1,8.5,3.56,4.2,5.32,6.05,10.66,9.73,9.95,5.95,9.89,3.97,10.71,9.9
24.7,7.54,7.89,1.31,0.025,0.016,2.17,192.3,5.8,7.51,6.89,7.48,5.36,5.62,4.63,4.47,4.18,4.04,11.1,4.6,3.57
24.1,7.24,8.1,3.44,0.025,0.07,1.44,187.2,8.3,4.1,5.03,6.25,5.21,7.68,5.85,6.45,5.06,5.93,5.1,7.01,6.44
22,7.7,8.98,1.14,0.025,0.016,1.93,307.5,11.5,8.78,6.17,8.27,4.79,6.87,6.13,5.75,2.72,6.53,10.8,6.24,5.13
24.8,7.26,7.5,1.29,0.033,0.033,1.42,104.9,24.5,5.46,6.14,9.16,6.44,5.15,2.48,2.42,2.13,2.15,1.49,2.11,1.5
25.1,7.05,8.23,0.98,0.025,0.021,1.02,110.7,6.1,5.86,6.31,8.82,5.22,4.91,3.31,3.61,2.92,3.04,2.83,2.29,1.74
26.7,7.57,7,2.06,0.025,0.025,3.85,353.5,4.4,5.9,12.02,12.82,13.86,9.36,10.03,11.58,13.38,11.01,7.33,10.13,9.43
25,7.6,9.37,0.59,0.025,0.005,0.43,85.8,4.5,6.98,7.23,8.18,4.27,3.99,3.28,3.28,2.96,2.91,2.72,2.25,1.83
25.6,8.09,7.82,1.95,0.742,0.023,1.26,55387.9,13.2,7.73,8.37,10.78,6.61,5.02,3.31,2.96,2.96,2.77,4.8,3.09,2.35
26.8,8.85,11.8,5.07,0.025,0.056,0.61,1399.8,12.9,7.84,11.52,13.66,14.32,13.65,13.79,14.4,14.57,12.86,8.29,11.87,10.08
25.1,7.83,7.56,6.68,0.605,0.075,1.38,14602.2,11.6,5.23,3.63,4.78,4.22,6.4,5.35,5.48,2.49,5.41,5.79,6.22,5.6
24,8.48,8.02,4.46,0.627,0.059,1.43,52797.6,11.1,7.81,9.99,12.9,11.94,15.16,12.89,13.3,10.01,13.81,5.78,16.24,14
22.9,7.04,6.72,1.44,0.025,0.015,1.8,156.9,5.2,6.08,6.89,9.78,5.8,4.36,1.97,2.01,1.72,1.65,2.1,1.69,0.93
23.9,7.42,4.28,6.84,0.376,0.227,1.69,9576.7,10,10.91,9.93,12.66,11.68,13.14,11.24,11.49,8.78,11.49,14.04,11.49,10.53
23.5,7.76,7.09,2.84,0.641,0.087,2.12,38443.9,29.4,8.84,13.96,17.14,13.94,12.06,10.13,9.74,10.3,9.77,8.49,9.41,8.43
26.1,8.09,8.7,1.49,0.025,0.024,1.5,195.8,49.4,8.82,11.88,13.44,11.58,10.64,8.9,8.56,9.81,8.86,6.3,8.66,7.32
25.3,7.09,3.54,3.8,0.81,0.098,3.54,284.8,13.3,4.08,5.83,7.64,7.47,9.98,10.38,9.98,7.33,10.12,3.67,11.01,10.9
26,7.38,8.22,2.34,0.026,0.062,0.95,186,3.7,3.76,2.68,4,2.77,5.44,4.94,4.58,2.34,4.88,5.07,6.2,6.64
31.6,8.71,9.62,7.27,0.025,0.035,0.99,134.8,12.3,6.76,5.47,9.36,5.73,7.26,4.47,4.4,4.11,4.08,7.3,3.88,3.49
25.3,7.48,7.75,0.99,0.025,0.019,2.5,270.7,83.3,12.01,7.74,12.52,13.36,11.9,4.23,3.85,3.65,2.9,8.33,2.79,2.31
26.8,7.49,7.38,1.2,0.025,0.032,2.24,181.4,67.8,5.16,6.36,10.07,8.1,6.5,3.3,3.55,3.03,3.17,3.69,2.1,1.26
28.9,6.62,3.46,4.93,0.697,0.355,2.79,156.1,57.3,3.74,4.85,7.72,6.64,6.32,2.56,1.93,1.46,0.99,1.79,1.15,0.88
28.4,6.56,2.64,5.76,0.859,0.26,2.62,356.4,43,6.6,8.18,12.72,12.72,14.02,11.16,10.57,8.91,9.77,6.53,10.65,9.98
28.9,6.53,3.55,5.7,0.619,0.369,2.62,185.1,96.5,4.81,5.99,8.58,8.52,10.95,8.37,9.09,7.91,7.41,6.22,6.23,4.89
29.6,7.84,6.65,1.3,0.025,0.029,1.92,254.9,26.7,7.45,7.77,11.66,10.28,13.02,19.99,20.69,10.17,21.39,16.77,13.67,8.9
30.7,6.66,3.41,5.55,0.025,0.076,2.79,328.5,15.9,7.09,7.83,10.21,8.23,7.96,4.6,4.62,3.59,3.48,2.4,1.51,1.1
